,name,rating,reviews,company_type,Head_Quarters,Company_Age,No_of_Employee
8991,Pan Seeds,3.9,(50 Reviews),Private,Kolkata + 9 more,47 years old,51-200 Employees (India)
8992,Intec Infra-Tech...,3.3,(50 Reviews),"Gurgaon/Gurugram,Haryana + 1 more",26 years old,51-200 Employees (India),
8993,Krish Compusoft ...,4.3,(50 Reviews),Private,"Iselin,New Jersey + 1 more",21 years old,51-200 Employees (India)
8994,Integral Univers...,4.3,(50 Reviews),Private,Lucknow + 3 more,18 years old,501-1k Employees (India)
8995,SRV Media,4.3,(50 Reviews),Private,Pune + 3 more,11 years old,201-500 Employees (Global)
8996,ETA,4.4,(50 Reviews),Private,Chennai + 7 more,28 years old,501-1k Employees (India)
8997,SoftNice,3.4,(50 Reviews),Private,"Allentown,PA + 4 more",21 years old,501-1k Employees (Global)
8998,Etech,4.1,(50 Reviews),Private,Nacogdoches + 3 more,25 years old,1k-5k Employees (India)
8999,Nucsoft,3.1,(50 Reviews),Private,Mumbai + 5 more,28 years old,201-500 Employees (India)
9000,Axis Mutual Fund,3.5,(50 Reviews),Public,Mumbai + 17 more,13 years old,501-1k Employees (Global)
9001,HDIL,3.9,(50 Reviews),Public,"Mumbai,Maharashtra + 3 more",26 years old,1k-5k Employees (India)
9002,Accord Software ...,3.3,(50 Reviews),Private,"Bangalore/Bengaluru,Karnataka",31 years old,201-500 Employees (India)
9003,Government of Ke...,4.1,(50 Reviews),Private,Thiruvananthapuram + 12 more,66 years old,5k-10k Employees (Global)
9004,Edenred,4.0,(50 Reviews),Issy Les Moulineaux + 6 more,25 years old,501-1k Employees (India),
9005,Walking Tree,3.6,(50 Reviews),Private,Hyderabad + 6 more,14 years old,201-500 Employees (India)
9006,Ata Freight Line,3.9,(50 Reviews),Private,New York + 6 more,26 years old,201-500 Employees (Global)
9007,Kelvion,3.3,(50 Reviews),Bochum + 6 more,102 years old,51-200 Employees (India),
9008,Rezayat Group,4.6,(50 Reviews),Al Khobar + 6 more,73 years old,51-200 Employees (India),
9009,Net2source,3.1,(50 Reviews),Private,New Jersey + 2 more,15 years old,1k-5k Employees (Global)
9010,Pride Technologi...,4.1,(50 Reviews),Private,New York + 3 more,40 years old,201-500 Employees (Global)
9011,HERO ECOTECH,4.1,(50 Reviews),Public,Ludhiana + 2 more,12 years old,51-200 Employees (India)
9012,Fynd,4.3,(50 Reviews),Private,"Mumbai,Maharashtra + 3 more",8 years old,201-500 Employees (India)
9013,Edutel Technolog...,3.4,(50 Reviews),"Bangalore,Karnataka + 4 more",12 years old,51-200 Employees (India),
9014,Elder Pharmaceut...,3.4,(50 Reviews),Public,"Mumbai,Maharashtra + 12 more",33 years old,51-200 Employees (Global)
9015,Crystal Travel,3.9,(50 Reviews),London,35 years old,,
9016,Magicrete Buildi...,4.1,(50 Reviews),"Surat,Gujarat + 7 more",14 years old,201-500 Employees (India),
9017,Kankei,4.2,(50 Reviews),Private,"Mumbai,Maharashtra + 3 more",24 years old,501-1k Employees (India)
9018,Yutaka Autoparts...,4.5,(50 Reviews),Bhiwadi + 5 more,1-10 Employees (India),,
9019,Tribeca Care,4.5,(50 Reviews),Private,Kolkata,9 years old,11-50 Employees (India)
9020,M.R.P.L,3.8,(50 Reviews),Mangaluru + 10 more,19 years old,5k-10k Employees (Global),
9021,Godavari Polymer...,4.3,(50 Reviews),Private,Secunderabad + 6 more,31 years old,201-500 Employees (India)
9022,Petrofac Emirate...,4.6,(50 Reviews),Abu Dhabi + 8 more,41 years old,10k-50k Employees (Global),
9023,Shirodkar Preci ...,3.7,(50 Reviews),Private,Pune,17 years old,51-200 Employees (India)
9024,Wyzmindz Solutio...,3.3,(50 Reviews),Private,Bengaluru + 1 more,12 years old,51-200 Employees (Global)
9025,Al Shirawi Group,4.3,(50 Reviews),Private,Dubai,51 years old,
9026,iTech Ecommerce,3.8,(50 Reviews),Noida + 6 more,7 years old,201-500 Employees (India),
9027,MNC AUTOMATION,3.8,(50 Reviews),Noida + 23 more,26 years old,11-50 Employees (Global),
9028,Humana People to...,4.3,(50 Reviews),Private,New Delhi + 11 more,24 years old,11-50 Employees (India)
9029,MNC AUTOMATION,3.8,(50 Reviews),Noida + 23 more,26 years old,11-50 Employees (Global),
9030,Humana People to...,4.3,(50 Reviews),Private,New Delhi + 11 more,24 years old,11-50 Employees (India)
9031,Flexsin Technolo...,3.4,(50 Reviews),Private,"Noida,Uttar Pradesh",14 years old,201-500 Employees (India)
9032,Kich Architectur...,3.4,(50 Reviews),"Rajkot,Gujarat + 12 more",19 years old,51-200 Employees (India),
9033,Sidwal Refrigera...,4.3,(50 Reviews),Private,New Delhi + 7 more,48 years old,51-200 Employees (India)
9034,Pan Seeds,3.9,(50 Reviews),Private,Kolkata + 9 more,47 years old,51-200 Employees (India)
9035,DesignBoxed,4.2,(50 Reviews),Private,Mohali + 1 more,11 years old,51-200 Employees (India)
9036,Millennium Semic...,4.4,(50 Reviews),Private,Pune + 3 more,27 years old,51-200 Employees (India)
9037,ETA,4.4,(50 Reviews),Private,Chennai + 7 more,28 years old,501-1k Employees (India)
9038,SoftNice,3.4,(50 Reviews),Private,"Allentown,PA + 4 more",21 years old,501-1k Employees (Global)
9039,MXC Solutions In...,3.9,(50 Reviews),Private,Mumbai + 8 more,12 years old,501-1k Employees (India)
9040,Phimetrics,3.3,(50 Reviews),Private,Mumbai + 8 more,14 years old,51-200 Employees (Global)
9041,Sidvin Core-Tech,4.4,(50 Reviews),Private,"Bangalore/Bengaluru,Karnataka",22 years old,201-500 Employees (India)
9042,Lakshmi Ring Tra...,3.9,(50 Reviews),Private,Coimbatore,48 years old,201-500 Employees (India)
9043,Accord Software ...,3.3,(50 Reviews),Private,"Bangalore/Bengaluru,Karnataka",31 years old,201-500 Employees (India)
9044,Krish Compusoft ...,4.3,(50 Reviews),Private,"Iselin,New Jersey + 1 more",21 years old,51-200 Employees (India)
9045,Edutel Technolog...,3.4,(50 Reviews),"Bangalore,Karnataka + 4 more",12 years old,51-200 Employees (India),
9046,Ata Freight Line,3.9,(50 Reviews),Private,New York + 6 more,26 years old,201-500 Employees (Global)
9047,Kelvion,3.3,(50 Reviews),Bochum + 6 more,102 years old,51-200 Employees (India),
9048,Rezayat Group,4.6,(50 Reviews),Al Khobar + 6 more,73 years old,51-200 Employees (India),
9049,Planet PCI Infot...,4.0,(50 Reviews),"Gurgaon,Haryana + 14 more",23 years old,51-200 Employees (India),
9050,Clinic Dermatech,3.2,(50 Reviews),New Delhi + 9 more,16 years old,201-500 Employees (India),
9051,Durr India,3.9,(50 Reviews),Private,"Bietigheim-bissingen,Baden-wurttemberg + 4 more",25 years old,201-500 Employees (India)
9052,Jakson and Compa...,3.8,(50 Reviews),New Delhi + 12 more,75 years old,501-1k Employees (Global),
9053,Hand In Hand,4.1,(50 Reviews),NGO/NPO,Chennai + 10 more,20 years old,51-200 Employees (India)
9054,Listenlights,4.3,(50 Reviews),Mumbai + 4 more,36 years old,51-200 Employees (Global),
9055,M.R.P.L,3.8,(50 Reviews),Mangaluru + 10 more,19 years old,5k-10k Employees (Global),
9056,Yutaka Autoparts...,4.5,(50 Reviews),Bhiwadi + 5 more,1-10 Employees (India),,
9057,Tribeca Care,4.5,(50 Reviews),Private,Kolkata,9 years old,11-50 Employees (India)
9058,WWF-India,3.7,(50 Reviews),"Delhi/NCR,Delhi + 9 more",53 years old,51-200 Employees (India),
9059,Bodhtree Consult...,3.8,(50 Reviews),Private,"Pleasanton,California + 2 more",24 years old,501-1k Employees (India)
9060,ESI Hospital,3.7,(50 Reviews),New Delhi + 17 more,,,
9061,Consort Builders,4.3,(50 Reviews),Private,Chandigarh + 6 more,18 years old,51-200 Employees (India)
9062,Mtg Learning Med...,4.3,(50 Reviews),Private,Gurugram + 4 more,40 years old,51-200 Employees (India)
9063,Marg Compusoft,3.9,(50 Reviews),"Delhi/NCR,Delhi + 8 more",22 years old,5k-10k Employees (India),
9064,Alexis Multispec...,4.3,(50 Reviews),Nagpur,12 years old,201-500 Employees (India),
9065,MQSYS Technologi...,4.0,(50 Reviews),Indore + 3 more,10 years old,201-500 Employees (India),
9066,South India Kris...,4.5,(50 Reviews),Private,New Delhi + 1 more,13 years old,1k-5k Employees (India)
9067,Bellfast Managem...,3.5,(50 Reviews),"Bangalore/Bengaluru,Karnataka + 12 more",27 years old,11-50 Employees (India),
9068,10FA India,3.9,(50 Reviews),Private,Mumbai + 3 more,20 years old,501-1k Employees (Global)
9069,Dayco Power Tran...,3.9,(50 Reviews),Private,Troy + 1 more,117 years old,51-200 Employees (India)
9070,Lloyd Healthcare,4.1,(50 Reviews),Private,Mumbai + 11 more,11 years old,11-50 Employees (India)
9071,Enviro Infra Eng...,3.9,(50 Reviews),Private,New Delhi + 8 more,13 years old,51-200 Employees (India)
9072,JIPMER,4.0,(50 Reviews),Private,Puducherry + 4 more,58 years old,1k-5k Employees (Global)
9073,Phimetrics,3.3,(50 Reviews),Private,Mumbai + 8 more,14 years old,51-200 Employees (Global)
9074,HDIL,3.9,(50 Reviews),Public,"Mumbai,Maharashtra + 3 more",26 years old,1k-5k Employees (India)
9075,Weir Group,4.3,(50 Reviews),Private,Glasgow + 4 more,151 years old,10k-50k Employees (Global)
9076,Lakshmi Ring Tra...,3.9,(50 Reviews),Private,Coimbatore,48 years old,201-500 Employees (India)
9077,Loylty Rewardz M...,3.9,(50 Reviews),Private,"Mumbai,Maharashtra + 6 more",16 years old,201-500 Employees (India)
9078,Network Solution...,3.7,(50 Reviews),Private,Herndon + 13 more,43 years old,501-1k Employees (Global)
9079,Sidvin Core-Tech,4.4,(50 Reviews),Private,"Bangalore/Bengaluru,Karnataka",22 years old,201-500 Employees (India)
9080,MXC Solutions In...,3.9,(50 Reviews),Private,Mumbai + 8 more,12 years old,501-1k Employees (India)
9081,ETA,4.4,(50 Reviews),Private,Chennai + 7 more,28 years old,501-1k Employees (India)
9082,Directi,4.3,(50 Reviews),Private,"Mumbai,Maharashtra + 3 more",24 years old,1k-5k Employees (India)
9083,Jost's Engineeri...,3.6,(50 Reviews),Private,"Mumbai,Maharashtra + 11 more",115 years old,201-500 Employees (India)
9084,OSP Labs,4.4,(50 Reviews),Private,"Arlington,Texas + 1 more",13 years old,51-200 Employees (India)
9085,Datt Mediproduct...,3.9,(50 Reviews),Private,New Delhi + 10 more,27 years old,201-500 Employees (India)
9086,Nightingales Hom...,3.7,(50 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 8 more",26 years old,201-500 Employees (India)
9087,KOHINOOR TELEVID...,3.0,(50 Reviews),Public,Mumbai + 4 more,55 years old,
9088,Harvest Internat...,4.8,(50 Reviews),Private,Bangalore + 4 more,11 years old,1k-5k Employees (Global)
9089,Consort Builders,4.3,(50 Reviews),Private,Chandigarh + 6 more,18 years old,51-200 Employees (India)
9090,Emirates Nationa...,4.5,(50 Reviews),Private,Dubai + 4 more,29 years old,5k-10k Employees (Global)
9091,Emirates Steel I...,4.1,(50 Reviews),Private,Abu Dhabi + 4 more,24 years old,1k-5k Employees (Global)
9092,Mtg Learning Med...,4.3,(50 Reviews),Private,Gurugram + 4 more,40 years old,51-200 Employees (India)
9093,INEL POWER SYSTE...,3.6,(50 Reviews),Private,Chennai + 8 more,25 years old,501-1k Employees (Global)
9094,Rcc Infra Ventur...,3.6,(50 Reviews),Gurgaon + 11 more,39 years old,51-200 Employees (India),
9095,Tenneco Clean Ai...,3.8,(50 Reviews),Pune + 1 more,10k-50k Employees (Global),,
9096,AstraGen,3.8,(50 Reviews),Private,"Chennai,Tamil Nadu + 6 more",10 years old,51-200 Employees (Global)
9097,MyTeam11,4.8,(50 Reviews),"Jaipur,Rajasthan",6 years old,201-500 Employees (India),
9098,OLXPeople,4.4,(50 Reviews),"Bangalore/Bengaluru,Karnataka + 14 more",8 years old,,
9099,Toothsi,2.5,(50 Reviews),"Mumbai,Maharashtra + 8 more",4 years old,501-1k Employees (India),
9100,Unschool Learnin...,3.4,(50 Reviews),"Hyderabad,Telangana + 5 more",3 years old,1k-5k Employees (India),
9101,Sellcraft Global...,3.4,(50 Reviews),Pune + 4 more,35 years old,51-200 Employees (India),
9102,Daramic Battery ...,3.2,(50 Reviews),Charlotte + 4 more,92 years old,51-200 Employees (India),
9103,Veoneer India,4.2,(50 Reviews),Stockholm + 2 more,4 years old,501-1k Employees (India),
9104,POWERCON Venture...,3.7,(50 Reviews),Private,Pune + 4 more,14 years old,51-200 Employees (Global)
9105,AN Prakash Const...,4.6,(50 Reviews),Private,Bengaluru + 7 more,36 years old,201-500 Employees (India)
9106,Saasvaap Techies,4.3,(50 Reviews),Private,"Trivandrum/Thiruvananthapuram,Kerala + 3 more",18 years old,51-200 Employees (Global)
9107,Jaquar Lighting,4.4,(50 Reviews),Private,Gurgaon + 23 more,62 years old,10k-50k Employees (Global)
9108,Kun Hyundai,4.4,(50 Reviews),Private,Chennai + 6 more,24 years old,
9109,Courtesy Honda,4.0,(50 Reviews),Chandigarh + 7 more,17 years old,11-50 Employees (India),
9110,HostBooks,2.6,(50 Reviews),"Gurgaon/Gurugram,Haryana",13 years old,51-200 Employees (India),
9111,Eka Software Sol...,3.9,(50 Reviews),Private,"New York City,New York + 3 more",18 years old,501-1k Employees (India)
9112,International Ce...,3.7,(50 Reviews),Gurugram + 1 more,16 years old,201-500 Employees (India),
9113,St. Andrews Inst...,4.7,(50 Reviews),Gurgaon/Gurugram + 2 more,11-50 Employees (India),,
9114,Amogha Polymers,4.5,(50 Reviews),Coimbatore + 14 more,6 years old,,
9115,Prasad & Company,4.2,(50 Reviews),Hyderabad + 11 more,59 years old,1k-5k Employees (India),
9116,ABS India,3.9,(50 Reviews),"Bangalore/Bengaluru,Karnataka + 9 more",20 years old,201-500 Employees (India),
9117,P R Packaging,3.4,(50 Reviews),Public,Palwal + 3 more,31 years old,201-500 Employees (India)
9118,SOC Experts,4.8,(50 Reviews),Private,Bengaluru + 3 more,6 years old,51-200 Employees (India)
9119,Loylty Rewardz M...,3.9,(50 Reviews),Private,"Mumbai,Maharashtra + 6 more",16 years old,201-500 Employees (India)
9120,Kun Hyundai,4.4,(50 Reviews),Private,Chennai + 6 more,24 years old,
9121,Jaquar Lighting,4.4,(50 Reviews),Private,Gurgaon + 23 more,62 years old,10k-50k Employees (Global)
9122,POWERCON Venture...,3.7,(50 Reviews),Private,Pune + 4 more,14 years old,51-200 Employees (Global)
9123,AN Prakash Const...,4.6,(50 Reviews),Private,Bengaluru + 7 more,36 years old,201-500 Employees (India)
9124,SynergyTop,4.5,(50 Reviews),Private,San Diego,8 years old,51-200 Employees (India)
9125,ART Affordable H...,3.4,(50 Reviews),Private,Gurugram + 20 more,9 years old,201-500 Employees (Global)
9126,Armstrong Machin...,3.5,(50 Reviews),"Pune,Maharashtra + 3 more",23 years old,51-200 Employees (India),
9127,OSP Labs,4.4,(50 Reviews),Private,"Arlington,Texas + 1 more",13 years old,51-200 Employees (India)
9128,Hitachi Energy,4.1,(50 Reviews),Vadodara + 8 more,,,
9129,Clean Science An...,3.4,(50 Reviews),Private,Pune + 1 more,16 years old,501-1k Employees (India)
9130,Garuda Polyflex ...,4.5,(49 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 10 more",10 years old,501-1k Employees (India)
9131,Ajax Engineering,4.0,(49 Reviews),"Bangalore/Bengaluru,Karnataka + 8 more",30 years old,501-1k Employees (India),
9132,Oxford Public Sc...,4.3,(49 Reviews),Private,New Delhi + 17 more,33 years old,201-500 Employees (Global)
9133,Poornima College...,4.3,(49 Reviews),Private,Jaipur,22 years old,201-500 Employees (India)
9134,Emkay Global Fin...,3.6,(49 Reviews),Public,"Mumbai,Maharashtra + 12 more",27 years old,51-200 Employees (India)
9135,anovIP,3.7,(49 Reviews),Private,New Delhi,201-500 Employees (Global),
9136,Keystone Automot...,4.0,(49 Reviews),Private,Exeter,51 years old,51-200 Employees (India)
9137,MIPL,4.4,(49 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 19 more",19 years old,201-500 Employees (India)
9138,Unimrkt Research,2.9,(49 Reviews),New York + 2 more,13 years old,201-500 Employees (India),
9139,Jekson Vision,3.8,(49 Reviews),Private,"Ahmedabad,Gujarat + 1 more",17 years old,51-200 Employees (India)
9140,Vasavadatta Ceme...,4.3,(49 Reviews),Private,Bengaluru + 6 more,76 years old,1k-5k Employees (Global)
9141,Zenith Industria...,3.5,(49 Reviews),Mumbai + 4 more,57 years old,201-500 Employees (India),
9142,Girmiti Software,3.4,(49 Reviews),"Bangalore/Bengaluru,Karnataka",10 years old,201-500 Employees (India),
9143,Weir Group,4.3,(49 Reviews),Private,Glasgow + 4 more,151 years old,10k-50k Employees (Global)
9144,Bostik,3.4,(49 Reviews),Private,Colombes + 8 more,133 years old,201-500 Employees (India)
9145,BI WORLDWIDE,3.9,(49 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 3 more",72 years old,51-200 Employees (India)
9146,Samkrg Pistons a...,4.3,(49 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 3 more",37 years old,501-1k Employees (India)
9147,Oriental Consult...,4.2,(49 Reviews),Private,"Lucknow,Uttar Pradesh + 11 more",25 years old,51-200 Employees (India)
9148,CHEP,4.2,(49 Reviews),Private,Weybridge + 14 more,76 years old,51-200 Employees (India)
9149,Ministry of Panc...,4.3,(49 Reviews),Private,New Delhi + 15 more,18 years old,51-200 Employees (India)
9150,Enzene Bioscienc...,4.1,(49 Reviews),Private,"Pune,Maharashtra",16 years old,201-500 Employees (India)
9151,Next Retail,4.5,(49 Reviews),Private,Leicester + 20 more,40 years old,10k-50k Employees (Global)
9152,Vantage Agora,3.9,(49 Reviews),Private,Beachwood + 2 more,18 years old,201-500 Employees (Global)
9153,PageTraffic Web-...,3.6,(49 Reviews),Private,Chicago,20 years old,51-200 Employees (India)
9154,Ami Organics,3.9,(49 Reviews),Public,"Surat,Gujrat",15 years old,201-500 Employees (India)
9155,Sasol,4.3,(49 Reviews),Private,Johannesburg + 3 more,72 years old,1-10 Employees (India)
9156,Eleganz Interior...,3.5,(49 Reviews),Private,Mumbai + 2 more,34 years old,51-200 Employees (India)
9157,World Health Par...,4.7,(49 Reviews),New Delhi + 9 more,14 years old,51-200 Employees (Global),
9158,United Technolog...,3.9,(49 Reviews),Waltham + 8 more,88 years old,201-500 Employees (India),
9159,Truebil,3.5,(49 Reviews),Private,"Mumbai,Maharashtra + 5 more",7 years old,51-200 Employees (India)
9160,Ruchira Papers,4.1,(49 Reviews),Public,Sirmaur + 5 more,42 years old,1k-5k Employees (India)
9161,ASAP Infosystems...,4.0,(49 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 6 more",24 years old,1k-5k Employees (Global)
9162,Swades Foundatio...,3.8,(49 Reviews),Private,"Mumbai,Maharashtra + 4 more",38 years old,201-500 Employees (India)
9163,Rajesh Kumar & A...,4.1,(49 Reviews),Ghaziabad + 19 more,13 years old,11-50 Employees (Global),
9164,Ansal Api,3.9,(49 Reviews),Private,New Delhi + 9 more,55 years old,1k-5k Employees (Global)
9165,Hnb Engineers,4.1,(49 Reviews),Private,Pune + 6 more,49 years old,11-50 Employees (India)
9166,Bodhtree Consult...,3.8,(49 Reviews),Private,"Pleasanton,California + 2 more",24 years old,501-1k Employees (India)
9167,Hfcl Infotel,4.2,(49 Reviews),Public,New Delhi + 22 more,35 years old,1k-5k Employees (India)
9168,Samraat Group,4.1,(49 Reviews),"Hyderabad/Secunderabad,Telangana",32 years old,51-200 Employees (India),
9169,Secure Energy Se...,4.1,(49 Reviews),Calgary + 20 more,15 years old,1k-5k Employees (Global),
9170,Toyota Lakozy Au...,4.3,(49 Reviews),Private,Mumbai + 1 more,23 years old,
9171,Gajra Gears,4.4,(49 Reviews),Dewas + 8 more,60 years old,1k-5k Employees (India),
9172,Wade Adams Contr...,4.5,(49 Reviews),Dubai + 1 more,46 years old,51-200 Employees (India),
9173,Kriya It,3.9,(49 Reviews),Private,"Chennai,Tamil Nadu + 2 more",12 years old,1k-5k Employees (India)
9174,Entra Solutions,3.8,(49 Reviews),Private,"Gurgaon/Gurugram,Haryana",7 years old,51-200 Employees (India)
9175,South India Kris...,4.4,(49 Reviews),Private,New Delhi + 1 more,13 years old,1k-5k Employees (India)
9176,Akshar Elecinfra,4.3,(49 Reviews),Private,Vadodara + 4 more,36 years old,501-1k Employees (Global)
9177,Oman Drydock,4.2,(49 Reviews),Private,Muscat + 4 more,16 years old,51-200 Employees (India)
9178,Lynk,3.7,(49 Reviews),Private,"Chennai,Tamil Nadu + 7 more",7 years old,51-200 Employees (India)
9179,Mannai Corporati...,4.5,(49 Reviews),Doha + 1 more,72 years old,51-200 Employees (India),
9180,Great Software L...,4.4,(49 Reviews),"Pune,Maharashtra",19 years old,1k-5k Employees (India),
9181,Consultancy Serv...,4.3,(49 Reviews),Private,Rajkot + 18 more,12 years old,11-50 Employees (India)
9182,MPTA Education,4.2,(49 Reviews),Public,"Pune,Maharashtra + 10 more",17 years old,51-200 Employees (India)
9183,Fastrack Communi...,2.6,(49 Reviews),Noida + 11 more,14 years old,201-500 Employees (India),
9184,Black Cat Engine...,4.2,(49 Reviews),Doha + 4 more,18 years old,1k-5k Employees (Global),
9185,IRM Offshore & M...,3.8,(49 Reviews),Ahmedabad + 3 more,58 years old,51-200 Employees (India),
9186,Cipa,4.0,(49 Reviews),"Kolkata,West Bengal + 14 more",31 years old,,
9187,Sgt Medical Coll...,3.8,(49 Reviews),Private,Gurgaon + 3 more,12 years old,501-1k Employees (India)
9188,Firstsource Labo...,4.1,(49 Reviews),Hyderabad + 11 more,11 years old,51-200 Employees (India),
9189,GMC Nagpur,3.8,(49 Reviews),Private,Nagpur + 14 more,75 years old,
9190,Pentair Water In...,3.8,(49 Reviews),Private,London + 5 more,56 years old,201-500 Employees (India)
9191,Ayushman Hospita...,3.7,(49 Reviews),New Delhi + 10 more,14 years old,51-200 Employees (India),
9192,Garuda Polyflex ...,4.5,(49 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 10 more",10 years old,501-1k Employees (India)
9193,Weaverbird Engin...,3.8,(49 Reviews),Private,New Delhi + 7 more,17 years old,201-500 Employees (Global)
9194,Oxford Public Sc...,4.3,(49 Reviews),Private,New Delhi + 17 more,33 years old,201-500 Employees (Global)
9195,Al Shifa Multisp...,4.2,(49 Reviews),Private,New Delhi + 8 more,11 years old,11-50 Employees (India)
9196,Ministry of Panc...,4.3,(49 Reviews),Private,New Delhi + 15 more,18 years old,51-200 Employees (India)
9197,Rajesh Kumar & A...,4.1,(49 Reviews),Ghaziabad + 19 more,13 years old,11-50 Employees (Global),
9198,Oman Drydock,4.2,(49 Reviews),Private,Muscat + 4 more,16 years old,51-200 Employees (India)
9199,Radiant Hitech E...,4.2,(49 Reviews),Private,Vadodara + 1 more,43 years old,
9200,SaleBuild IT Ena...,3.1,(49 Reviews),"Redwood City,California",17 years old,201-500 Employees (India),
9201,Kriya It,3.9,(49 Reviews),Private,"Chennai,Tamil Nadu + 2 more",12 years old,1k-5k Employees (India)
9202,Foundation Brake...,4.3,(49 Reviews),Jalgaon + 9 more,51-200 Employees (India),,
9203,Rakyan Beverages,4.6,(49 Reviews),Private,"Mumbai,Maharashtra + 11 more",8 years old,51-200 Employees (Global)
9204,Sandip Universit...,4.2,(49 Reviews),Nashik + 9 more,6 years old,1k-5k Employees (Global),
9205,Ajax Engineering,4.0,(49 Reviews),"Bangalore/Bengaluru,Karnataka + 8 more",30 years old,501-1k Employees (India),
9206,Poornima College...,4.3,(49 Reviews),Private,Jaipur,22 years old,201-500 Employees (India)
9207,Eleganz Interior...,3.5,(49 Reviews),Private,Mumbai + 2 more,34 years old,51-200 Employees (India)
9208,World Health Par...,4.7,(49 Reviews),New Delhi + 9 more,14 years old,51-200 Employees (Global),
9209,Great Software L...,4.4,(49 Reviews),"Pune,Maharashtra",19 years old,1k-5k Employees (India),
9210,Apollo Telehealt...,4.2,(49 Reviews),Hyderabad/Secunderabad + 11 more,12 years old,51-200 Employees (India),
9211,Black Cat Engine...,4.2,(49 Reviews),Doha + 4 more,18 years old,1k-5k Employees (Global),
9212,Orchid Healthcar...,3.9,(49 Reviews),Chennai + 4 more,30 years old,,
9213,Bothra Group,4.0,(49 Reviews),Private,Visakhapatnam + 6 more,45 years old,1k-5k Employees (India)
9214,Great Eastern Sh...,4.4,(49 Reviews),Public,Mumbai + 1 more,74 years old,501-1k Employees (India)
9215,Asiapower Overse...,4.7,(49 Reviews),Mumbai + 9 more,38 years old,,
9216,Mannai Corporati...,4.5,(49 Reviews),Doha + 1 more,72 years old,51-200 Employees (India),
9217,Consultancy Serv...,4.3,(49 Reviews),Private,Rajkot + 18 more,12 years old,11-50 Employees (India)
9218,Fastrack Communi...,2.6,(49 Reviews),Noida + 11 more,14 years old,201-500 Employees (India),
9219,Edify School,4.0,(49 Reviews),Firozabad + 12 more,,,
9220,Agriculture Insu...,4.2,(49 Reviews),"Delhi,NCT + 23 more",201-500 Employees (India),,
9221,Alexis Multispec...,4.2,(49 Reviews),Nagpur,12 years old,201-500 Employees (India),
9222,Emiza Supply Cha...,3.7,(49 Reviews),Private,Mumbai + 10 more,7 years old,201-500 Employees (India)
9223,Mohan Meakin,3.9,(49 Reviews),Public,Ghaziabad + 5 more,167 years old,1k-5k Employees (India)
9224,Pigeon India,4.7,(49 Reviews),Private,Tokyo + 7 more,65 years old,51-200 Employees (India)
9225,Neha Herbals,4.1,(49 Reviews),Private,New Delhi + 16 more,30 years old,51-200 Employees (India)
9226,Varimile Technol...,4.4,(49 Reviews),New Delhi + 4 more,11-50 Employees (Global),,
9227,P3 Group,2.2,(49 Reviews),Stuttgart + 2 more,26 years old,1k-5k Employees (Global),
9228,Rakyan Beverages,4.6,(49 Reviews),Private,"Mumbai,Maharashtra + 11 more",8 years old,51-200 Employees (Global)
9229,RD Public School,3.6,(49 Reviews),Private,Betul + 12 more,15 years old,201-500 Employees (Global)
9230,As Enterprises,3.6,(49 Reviews),Private,New Delhi + 21 more,51 years old,11-50 Employees (Global)
9231,Texas Review,4.1,(49 Reviews),Private,Hyderabad + 4 more,8 years old,201-500 Employees (Global)
9232,Delval Flow Cont...,4.5,(49 Reviews),Private,Louisiana + 6 more,17 years old,201-500 Employees (India)
9233,Vserv Infosystem...,3.4,(49 Reviews),Noida + 14 more,6 years old,501-1k Employees (India),
9234,India Ratings & ...,3.7,(49 Reviews),"Mumbai,Maharashtra + 8 more",27 years old,51-200 Employees (India),
9235,MRCC Solutions,3.7,(49 Reviews),Thane + 3 more,26 years old,501-1k Employees (Global),
9236,Betamonks,4.0,(49 Reviews),Private,"Chennai,Tamil Nadu + 3 more",10 years old,51-200 Employees (India)
9237,Mahendra Skills ...,3.2,(49 Reviews),Lucknow + 14 more,7 years old,,
9238,Al Faraa Infra P...,3.6,(49 Reviews),Abu Dhabi + 3 more,42 years old,10k+ Employees (Global),
9239,Entra Solutions,3.8,(49 Reviews),Private,"Gurgaon/Gurugram,Haryana",7 years old,51-200 Employees (India)
9240,South India Kris...,4.4,(49 Reviews),Private,New Delhi + 1 more,13 years old,1k-5k Employees (India)
9241,Vasu Chemicals,4.1,(49 Reviews),LLP,Mumbai + 11 more,51 years old,501-1k Employees (India)
9242,Hq Lamps Manufac...,4.0,(49 Reviews),Noida + 4 more,8 years old,501-1k Employees (India),
9243,Edify School,4.0,(49 Reviews),Firozabad + 12 more,,,
9244,Vserv Business S...,3.8,(49 Reviews),Private,"Gurgaon/Gurugram,Haryana + 2 more",12 years old,201-500 Employees (India)
9245,Ganga Medical Ce...,4.3,(49 Reviews),Coimbatore + 9 more,44 years old,501-1k Employees (India),
9246,Transparency Mar...,2.7,(49 Reviews),Private,"Albany,New York + 1 more",11 years old,201-500 Employees (Global)
