,name,rating,reviews,company_type,Head_Quarters,Company_Age,No_of_Employee
955,Quatrro,3.2,(447 Reviews),Private,Gurgaon + 5 more,17 years old,1k-5k Employees (India)
956,Uber,4.1,(510 Reviews),Public,"San Francisco,California + 36 more",13 years old,1k-5k Employees (India)
957,Metropolis Healt...,4.1,(446 Reviews),Private,"Mumbai,Maharashtra + 59 more",42 years old,1k-5k Employees (India)
958,Minda Corporatio...,3.8,(446 Reviews),Public,Gurugram + 38 more,64 years old,1k-5k Employees (India)
959,Minda Corporatio...,3.8,(446 Reviews),Public,Gurugram + 38 more,64 years old,1k-5k Employees (India)
960,T.v. Sundram Iye...,4.1,(9.4k Reviews),"Chennai,Tamil Nadu + 72 more",111 years old,501-1k Employees (India),
961,Reliance Power,4.2,(445 Reviews),Public,"Navi Mumbai,Maharashtra + 26 more",27 years old,1k-5k Employees (India)
962,Karur Vysya Bank,3.7,(445 Reviews),Public,"Karur,Tamil Nadu + 85 more",106 years old,5k-10k Employees (India)
963,Nippon Paint Ind...,4.0,(445 Reviews),Private,Osaka + 75 more,141 years old,501-1k Employees (India)
964,OMICS Internatio...,2.7,(458 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 4 more",15 years old,51-200 Employees (India)
965,Greenko Group,4.0,(444 Reviews),Private,Hyderabad + 37 more,18 years old,1k-5k Employees (India)
966,Tata Advanced Sy...,3.9,(444 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 13 more",15 years old,1k-5k Employees (India)
967,GirnarSoft,3.9,(825 Reviews),Private,"Jaipur,Rajasthan + 36 more",15 years old,1k-5k Employees (India)
968,Ahluwalia Contra...,3.9,(443 Reviews),Public,"Delhi/NCR,New Delhi + 28 more",57 years old,5k-10k Employees (India)
969,Sintex Industrie...,4.2,(443 Reviews),Public,"Kalol,Gujarat + 51 more",91 years old,1k-5k Employees (India)
970,GE Power,4.2,(603 Reviews),Public,"Schenectady,Düsseldorf + 41 more",30 years old,1k-5k Employees (India)
971,Apexon,3.4,(442 Reviews),"Mohali,Punjab + 14 more",26 years old,1k-5k Employees (India),
972,Colliers Interna...,4.1,(442 Reviews),Private,Ontario + 22 more,27 years old,1k-5k Employees (India)
973,Dixon Technologi...,4.1,(441 Reviews),Public,"Noida,Uttar Pradesh + 20 more",29 years old,1k-5k Employees (India)
974,Kurlon,4.3,(440 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 76 more",60 years old,1k-5k Employees (India)
975,Redington,4.2,(440 Reviews),Public,"Dubai,Dubai + 46 more",23 years old,1k-5k Employees (India)
976,Birla Corporatio...,4.3,(745 Reviews),Public,"Kolkata,India + 79 more",103 years old,1k-5k Employees (India)
977,Otis Elevator,4.2,(439 Reviews),Private,"Farmington,Connecticut + 45 more",169 years old,1k-5k Employees (India)
978,HARMAN,3.9,(1.4k Reviews),Public,"Stamford,Connecticut + 12 more",13 years old,1k-5k Employees (India)
979,TNQ Books & Jour...,3.6,(438 Reviews),Private,Chennai + 4 more,24 years old,1k-5k Employees (India)
980,KIMS Hospital,4.1,(438 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 29 more",10 years old,501-1k Employees (India)
981,Quikr,3.8,(595 Reviews),Private,"Bangalore,Karnataka + 22 more",14 years old,501-1k Employees (India)
982,Aarvi Encon,4.0,(437 Reviews),Public,"Mumbai,Maharashtra + 57 more",35 years old,1k-5k Employees (India)
983,Uttam Galva Stee...,4.0,(437 Reviews),Public,"Mumbai,Maharashtra + 16 more",37 years old,1k-5k Employees (India)
984,HPCL-Mittal Ener...,4.5,(437 Reviews),JV,"Noida,Uttar Pradesh + 15 more",15 years old,1k-5k Employees (India)
985,ZF Steering Gear...,3.7,(437 Reviews),Public,"Pune,Maharashtra + 8 more",107 years old,501-1k Employees (India)
986,IMPACT Infotech,3.8,(436 Reviews),Private,"Pune,Maharashtra + 47 more",28 years old,501-1k Employees (India)
987,Godrej Agrovet,4.3,(436 Reviews),Mumbai + 73 more,1k-5k Employees (India),,
988,HFCL,4.2,(528 Reviews),Public,"Delhi/NCR,New Delhi + 70 more",35 years old,1k-5k Employees (India)
989,Ingram Micro,3.9,(482 Reviews),Private,"Irvine,California + 39 more",43 years old,1k-5k Employees (India)
